IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.17.180.28,4,4,0.00,126.11,0.00
104.16.227.28,4,4,0.00,126.22,0.00
104.17.176.28,4,4,0.00,126.60,0.00
104.17.171.28,4,4,0.00,126.73,0.00
104.16.206.28,4,4,0.00,127.22,0.00
104.18.252.28,4,4,0.00,127.43,0.00
104.16.235.28,4,4,0.00,127.75,0.00
104.17.12.28,4,4,0.00,127.93,0.00
104.17.19.28,4,4,0.00,128.16,0.00
104.17.16.28,4,4,0.00,128.17,0.00
104.17.17.28,4,4,0.00,128.18,0.00
104.17.163.28,4,4,0.00,128.23,0.00
104.17.169.28,4,4,0.00,128.35,0.00
104.18.250.28,4,4,0.00,128.48,0.00
104.17.9.28,4,4,0.00,128.85,0.00
104.16.226.28,4,4,0.00,129.73,0.00
104.18.254.28,4,4,0.00,129.85,0.00
104.17.64.28,4,4,0.00,129.87,0.00
104.17.150.28,4,4,0.00,129.88,0.00
104.17.46.28,4,4,0.00,129.97,0.00
104.17.161.28,4,4,0.00,129.99,0.00
104.17.142.28,4,4,0.00,130.08,0.00
104.17.162.28,4,4,0.00,130.24,0.00
104.17.146.28,4,4,0.00,130.33,0.00
104.17.63.28,4,4,0.00,130.63,0.00
104.17.92.28,4,4,0.00,130.64,0.00
104.17.44.28,4,4,0.00,130.72,0.00
104.17.160.28,4,4,0.00,130.75,0.00
104.17.141.28,4,4,0.00,130.83,0.00
104.17.34.28,4,4,0.00,130.88,0.00
104.17.33.28,4,4,0.00,130.94,0.00
104.17.145.28,4,4,0.00,131.06,0.00
104.17.70.28,4,4,0.00,131.18,0.00
104.17.41.28,4,4,0.00,131.21,0.00
104.17.71.28,4,4,0.00,131.39,0.00
104.17.94.28,4,4,0.00,131.40,0.00
104.17.143.28,4,4,0.00,131.56,0.00
104.17.79.28,4,4,0.00,131.62,0.00
104.17.90.28,4,4,0.00,131.64,0.00
104.18.253.28,4,4,0.00,131.85,0.00
104.17.77.28,4,4,0.00,131.87,0.00
104.17.80.28,4,4,0.00,131.89,0.00
104.17.45.28,4,4,0.00,131.96,0.00
104.17.157.28,4,4,0.00,131.97,0.00
104.17.156.28,4,4,0.00,131.98,0.00
104.17.137.28,4,4,0.00,132.06,0.00
